"","INSPECTION_DATE","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","ORIGIN","SUBCATEGORY","INSPECTION_LOCATION_STATE_CODE","DETERMINATION_TYPE","PEST_TAXONOMIC_NAME","QUARANTINE_RECOMMENDATION","DIAGNOSTIC_DETERMINATION_ID","DIAGNOSTIC_REQUEST_ID","NUMBER_DEAD_ADULTS","NUMBER_DEAD_CYSTS","NUMBER_DEAD_EGGS","NUMBER_DEAD_IMMATURE","NUMBER_DEAD_PUPAE","NUMBER_ALIVE_ADULTS","NUMBER_ALIVE_CYSTS","NUMBER_ALIVE_EGGS","NUMBER_ALIVE_IMMATURE","NUMBER_ALIVE_PUPAE","PEST_TAXON_ID","PEST_TAXONOMY_KINGDOM","PEST_TAXONOMY_PHYLUM","PEST_TAXONOMY_CLASS","PEST_TAXONOMY_ORDER","PEST_TAXONOMY_FAMILY","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","ID_AUTHORITY","DETERMINATION_TYPE_ID","DETERMINED_BY_GROUP_ID","DETERMINATION_DATETIME","QUARANTINE_STATUS_HAWAII","QUARANTINE_STATUS_PUERTO_RICO","QUARANTINE_STATUS_CONUS","ID","DIAGNOSTIC_DETERMINATION_NOT_POSSIBLE_REASON"
"11","2020-02-14","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Mail - PIS Mail","Indonesia","PIS","CA","Final ID","Acutaspis umbonifera (Newstead)  (Diaspididae)","Phytosanitary Action",179508,91217,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5684,"Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","Acutaspis","umbonifera","umbonifera","Earned - Final",5887,17412,"2020-02-20 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"12","2020-03-11","Begonia tuberhybrida - Begonia tuberhybrida","Begonia tuberhybrida","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Pteromalidae","No Phytosanitary Action",110404,59754,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6418,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae",NA,NA,"Pteromalidae","Conferred - Final",5887,17411,"2020-03-11 04:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"13","2024-04-04","Begonia atricha  (Begoniaceae)","Begonia atricha  (Begoniaceae)","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Oribatida","No Phytosanitary Action",1469088,698043,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,39174,"Animalia","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA,"Oribatida","Earned - Final",5887,17411,"2024-04-04 07:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"14","2024-04-04","Begonia atricha  (Begoniaceae)","Begonia atricha  (Begoniaceae)","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Oribatida","No Phytosanitary Action",1469087,698045,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,39174,"Animalia","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA,"Oribatida","Earned - Final",5887,17411,"2024-04-04 07:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"15","2022-10-17","Begonia boliviensis - Begonia boliviensis","Begonia boliviensis","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Araneae","No Phytosanitary Action",1094200,513846,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,4,"Animalia","Arthropoda","Arachnida","Araneae",NA,NA,NA,"Araneae","Conferred - Final",5887,17411,"2022-10-17 04:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"16","2024-01-22","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Braconidae","No Phytosanitary Action",1411746,671111,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6480,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA,"Braconidae","Conferred - Final",5887,17411,"2024-01-23 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"17","2024-01-22","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Pteromalidae","No Phytosanitary Action",1411744,671300,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6418,"Animalia","Arthropoda","Insecta","Hymenoptera","Pteromalidae",NA,NA,"Pteromalidae","Earned - Final",5887,17411,"2024-01-23 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"18","2024-01-22","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Sciaridae","No Phytosanitary Action",1411737,671112,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3184,"Animalia","Arthropoda","Insecta","Diptera","Sciaridae",NA,NA,"Sciaridae","Conferred - Final",5887,17411,"2024-01-23 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"19","2025-02-12","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","FL","Final ID","Sciaridae","No Phytosanitary Action",1687095,797193,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3184,"Animalia","Arthropoda","Insecta","Diptera","Sciaridae",NA,NA,"Sciaridae","Conferred - Final",5887,17411,"2025-02-12 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"20","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Tydeidae","No Phytosanitary Action",1652639,781442,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,332,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tydeidae",NA,NA,"Tydeidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"21","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1652624,781440,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"22","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Histiostomatidae","No Phytosanitary Action",1652631,781441,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,146,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Histiostomatidae",NA,NA,"Histiostomatidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"23","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1652642,781449,NA,NA,NA,NA,NA,1,NA,NA,0,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"24","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Tydeidae","No Phytosanitary Action",1652605,781439,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,332,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tydeidae",NA,NA,"Tydeidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"25","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Histiostomatidae","No Phytosanitary Action",1652641,781447,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,146,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Histiostomatidae",NA,NA,"Histiostomatidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"26","2024-06-04","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1514587,719558,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2024-06-04 07:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"27","2024-06-04","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Mesostigmata","No Phytosanitary Action",1514588,719560,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,42,"Animalia","Arthropoda","Arachnida","Mesostigmata",NA,NA,NA,"Mesostigmata","Earned - Final",5887,17411,"2024-06-04 07:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"28","2024-06-04","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Thripidae","Phytosanitary Action",1515130,719561,NA,NA,NA,NA,NA,0,NA,NA,3,NA,8105,"Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA,"Thripidae","Earned - Final",5887,17412,"2024-06-05 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"29","2024-06-04","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Express Carrier - PIS","Indonesia","PIS","CA","Final ID","Brevipalpus sp. (Tenuipalpidae)","Phytosanitary Action",1515314,719559,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,266,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tenuipalpidae","Brevipalpus",NA,"Brevipalpus","Earned - Final",5887,17412,"2024-06-05 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"30","2021-11-23","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Netherlands","PIS","NY","Final ID","Thripidae","Phytosanitary Action",878031,411993,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8105,"Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA,"Thripidae","Earned - Final",5887,17411,"2021-11-24 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"31","2025-08-22","Begonia elatior (Begoniaceae) - Begonia elatior","Begonia elatior (Begoniaceae)","Airport - Aircraft - Cargo - PIS","Uganda","PIS","GA","Final ID","Lagria villosa Fabricius  (Tenebrionidae)","Phytosanitary Action",1832509,862219,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2355,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Lagria","villosa","villosa","Earned - Final",5887,17412,"2025-08-22 07:00:00.0000000","Uncategorized","Uncategorized","Quarantine",NA,NA
"32","2025-08-11","Begonia elatior (Begoniaceae) - Begonia elatior","Begonia elatior (Begoniaceae)","Airport - Aircraft - Cargo - PIS","Uganda","PIS","GA","Final ID","Collembola","No Phytosanitary Action",1824572,858602,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,341,"Animalia","Arthropoda","Collembola",NA,NA,NA,NA,"Collembola","Conferred - Final",5887,17411,"2025-08-12 04:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"33","2025-01-13","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1666358,788112,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17412,"2025-01-14 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"34","2025-01-13","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Parasitidae","No Phytosanitary Action",1666352,788111,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,74,"Animalia","Arthropoda","Arachnida","Mesostigmata","Parasitidae",NA,NA,"Parasitidae","Earned - Final",5887,17412,"2025-01-14 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"35","2024-11-19","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Dominican Republic","PIS","FL","Final ID","Succinea sp. (Succineidae)","No Phytosanitary Action",1634415,773258,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9130,"Animalia","Mollusca","Gastropoda","Stylommatophora","Succineidae","Succinea",NA,"Succinea","Earned - Final",5887,17411,"2024-11-20 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"36","2025-09-23","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","TX","Final ID","Lasiodiplodia sp. (Botryosphaeriaceae)","Phytosanitary Action",1856035,872812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,"Fungi",NA,"Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia",NA,"Lasiodiplodia","Earned - Final",5887,17412,"2025-09-23 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"37","2025-09-23","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","TX","Final ID","Cercospora coffeicola Berk. & Cooke (Mycosphaerellaceae)","No Phytosanitary Action",1856694,872893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9922,"Fungi",NA,"Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","coffeicola","coffeicola","Earned - Final",5887,17412,"2025-09-24 04:00:00.0000000","Uncategorized","Uncategorized","Non-Quarantine",NA,NA
"38","2025-09-23","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","TX","Final ID","Pseudococcidae","Phytosanitary Action",1856454,872892,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6039,"Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,"Pseudococcidae","Earned - Final",5887,17411,"2025-09-24 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"39","2025-09-23","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","TX","Final ID","Colletotrichum orchidearum Allesch.  (Glomerellaceae)","No Phytosanitary Action",1856631,872902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10841,"Fungi",NA,"Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","orchidearum","orchidearum","Earned - Final",5887,17411,"2025-09-24 05:00:00.0000000","Uncategorized","Uncategorized","Non-Quarantine",NA,NA
"40","2025-01-13","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1666358,788112,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17412,"2025-01-14 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"41","2025-01-13","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Parasitidae","No Phytosanitary Action",1666352,788111,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,74,"Animalia","Arthropoda","Arachnida","Mesostigmata","Parasitidae",NA,NA,"Parasitidae","Earned - Final",5887,17412,"2025-01-14 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"42","2020-02-21","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Mail - PIS Mail","Thailand","PIS","HI","Final ID","Psychodidae","No Phytosanitary Action",176077,89674,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3175,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae",NA,NA,"Psychodidae","Earned - Final",5887,17412,"2020-02-24 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"43","2024-10-11","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Express Carrier - PIS","Mexico","PIS","TX","Final ID","Lygaeidae","Phytosanitary Action",1611854,763231,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4046,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae",NA,NA,"Lygaeidae","Earned - Final",5887,17411,"2024-10-21 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"44","2017-12-18","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Germany","PIS","NJ","Final ID","Thripidae","Phytosanitary Action",522615,244730,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8105,"Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae",NA,NA,"Thripidae","Earned - Final",5887,17411,"2017-12-19 00:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"45","2023-10-09","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Cargo - PIS","Netherlands","PIS","GA","Final ID","Staphylinidae","No Phytosanitary Action",1327649,621790,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2985,"Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA,NA,"Staphylinidae","Conferred - Final",5887,17411,"2023-10-10 04:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"46","2019-11-20","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Mail - PIS Mail","Thailand","PIS","HI","Final ID","Ophiostoma sp. (Ophiostomataceae)","Phytosanitary Action",216724,107738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10882,"Fungi",NA,"Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma",NA,"Ophiostoma","Earned - Final",5887,17412,"2019-11-21 16:03:35.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"47","2023-12-15","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Thailand","PIS","FL","Final ID","Bacteria","Phytosanitary Action",1371079,642324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9690,"Bacteria",NA,NA,NA,NA,NA,NA,"Bacteria","Earned - Final",5887,17412,"2023-12-15 05:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"48","2024-10-07","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Cargo - PIS","Netherlands","PIS","FL","Final ID","Insecta","No Phytosanitary Action",1603272,759195,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,364,"Animalia","Arthropoda","Insecta",NA,NA,NA,NA,"Insecta","Conferred - Final",5887,17411,"2024-10-08 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"49","2024-10-07","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Cargo - PIS","Netherlands","PIS","FL","Final ID","Pseudococcidae","Phytosanitary Action",1603247,759197,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6039,"Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae",NA,NA,"Pseudococcidae","Earned - Final",5887,17411,"2024-10-08 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"50","2024-10-07","Begonia rex - Begonia rex","Begonia rex","Airport - Aircraft - Cargo - PIS","Netherlands","PIS","FL","Final ID","Lepidoptera","Phytosanitary Action",1603585,759198,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6776,"Animalia","Arthropoda","Insecta","Lepidoptera",NA,NA,NA,"Lepidoptera","Earned - Final",5887,17412,"2024-10-08 04:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"51","2021-03-22","Begonia elatior (Begoniaceae) - Begonia elatior","Begonia elatior (Begoniaceae)","Airport - Aircraft - Cargo - PIS","Brazil","PIS","GA","Final ID","Oxalis sp. (Oxalidaceae)","No Phytosanitary Action",695743,322469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29272,"Plantae",NA,"Magnoliopsida","Oxalidales","Oxalidaceae","Oxalis",NA,"Oxalis","Earned - Final",5887,17411,"2021-03-22 04:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"52","2025-03-03","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","Germany","PIS","GA","Final ID","Entomobryidae","No Phytosanitary Action",1700758,803242,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,348,"Animalia","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,NA,"Entomobryidae","Conferred - Final",5887,17411,"2025-03-03 05:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
