"","INSPECTION_DATE","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","ORIGIN","SUBCATEGORY","INSPECTION_LOCATION_STATE_CODE","DETERMINATION_TYPE","PEST_TAXONOMIC_NAME","QUARANTINE_RECOMMENDATION","DIAGNOSTIC_DETERMINATION_ID","DIAGNOSTIC_REQUEST_ID","NUMBER_DEAD_ADULTS","NUMBER_DEAD_CYSTS","NUMBER_DEAD_EGGS","NUMBER_DEAD_IMMATURE","NUMBER_DEAD_PUPAE","NUMBER_ALIVE_ADULTS","NUMBER_ALIVE_CYSTS","NUMBER_ALIVE_EGGS","NUMBER_ALIVE_IMMATURE","NUMBER_ALIVE_PUPAE","PEST_TAXON_ID","PEST_TAXONOMY_KINGDOM","PEST_TAXONOMY_PHYLUM","PEST_TAXONOMY_CLASS","PEST_TAXONOMY_ORDER","PEST_TAXONOMY_FAMILY","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES"
"12","2022-01-05","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",901912,423598,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"13","2023-05-10","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1227113,575163,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"14","2024-01-04","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1382079,648110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"15","2024-01-04","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",1382069,648108,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"16","2024-08-24","Solidago sp.  - Solidago","Solidago sp. ","Airport - Aircraft - Cargo - CBP","Colombia","CBP","FL","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1573467,745719,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"17","2025-04-29","Limonium sp. - Limonium","Limonium sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1744463,822205,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"18","2019-12-09","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",209050,104354,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"19","2021-09-22","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",832868,390365,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"20","2022-05-11",NA,NA,"Airport - Aircraft - Conveyance - CBP","Dominica","CBP","VI","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",992149,465388,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"21","2018-08-09",NA,NA,"Airport - Aircraft - Cargo - CBP","Dominican Republic","CBP","FL","Final ID","Spodoptera albula (Walker) (Noctuidae)","No Phytosanitary Action",429283,202919,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7299,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","albula"
"22","2021-09-04","Allium ampeloprasum - LEEK","Allium ampeloprasum","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",819504,382570,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"23","2022-12-14","Lactuca sativa (Asteraceae) - LETTUCE","Lactuca sativa (Asteraceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1134217,532379,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"24","2019-09-05","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera sp. (Noctuidae)","No Phytosanitary Action",261565,127460,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"25","2016-11-11","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ","Airport - Aircraft - Cargo - CBP","Colombia","CBP","FL","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",676999,313975,0,0,0,0,0,0,0,0,1,0,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"26","2019-10-21","Zea mays - CORN","Zea mays","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",233156,114859,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"27","2017-03-29","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera latifascia (Walker) (Noctuidae)","No Phytosanitary Action",631606,293473,0,NA,NA,NA,NA,1,NA,NA,NA,NA,7306,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","latifascia"
"28","2019-06-16","Mentha sp. - MINT","Mentha sp.","Airport - Aircraft - Cargo - CBP","Mexico","CBP","NY","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",295524,142798,NA,NA,NA,0,NA,NA,NA,NA,2,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"29","2023-04-03","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1202530,564218,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"30","2024-03-06","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP","Colombia","CBP","NY","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",1448266,688374,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"31","2019-02-15","Zea mays - CORN","Zea mays","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",347698,166380,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"32","2020-12-10",NA,NA,"Maritime Port - Vessel - Cargo - CBP","Dominican Republic","CBP","NJ","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",162026,83069,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"33","2025-02-03","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1679604,794058,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"34","2024-04-11","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1474379,700411,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"35","2022-04-22","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",975949,458683,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"36","2020-11-09","Cynara scolymus (Asteraceae) - GLOBE ARTICHOKE","Cynara scolymus (Asteraceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",145063,76004,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"37","2024-06-12","Limonium sp. - Limonium","Limonium sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1520966,722558,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"38","2020-06-12","Mentha sp. - MINT","Mentha sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",84780,48212,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"39","2021-01-04","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP","Colombia","CBP","FL","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",171133,87373,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"40","2018-02-13","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera sp. (Noctuidae)","No Phytosanitary Action",502020,235475,NA,NA,NA,0,NA,NA,NA,NA,5,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"41","2017-05-16","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",609417,283591,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"42","2017-06-03","Mentha sp. - MINT","Mentha sp.","Airport - Aircraft - Cargo - CBP","Colombia","CBP","FL","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",601091,279938,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"43","2024-05-22","Capsicum sp. - Other Pepper","Capsicum sp.","Maritime Port - Vessel - Cargo - CBP","Dominican Republic","CBP","FL","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",1506082,715102,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"44","2025-10-29","Ocimum sp. - Ocimum","Ocimum sp.","Airport - Aircraft - Cargo - CBP","India","CBP","NY","Final ID","Spodoptera litura (Fabricius) (Noctuidae)","Phytosanitary Action",1881235,883880,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7308,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","litura"
"45","2021-11-10","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",868419,407350,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"46","2020-05-03","Petroselinum crispum (Apiaceae) - PARSLEY","Petroselinum crispum (Apiaceae)","Airport - Aircraft - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",96448,53425,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"47","2017-03-27","Annona squamosa - Annona squamosa","Annona squamosa","Airport - Aircraft - Cargo - PIS","Viet Nam","PIS","FL","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",633007,294097,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"48","2019-02-15","Zea mays - CORN","Zea mays","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",347707,166384,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"49","2023-09-19","Lactuca sativa (Asteraceae) - LETTUCE","Lactuca sativa (Asteraceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1315192,616164,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"50","2018-09-06","Zea mays - CORN","Zea mays","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",418134,197982,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"51","2023-05-17","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1232153,577667,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"52","2022-10-11","Limonium sp. - Limonium","Limonium sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1090984,512264,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"53","2021-08-26","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",811118,379110,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"54","2024-06-13","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1521768,722823,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"55","2025-06-01","Abelmoschus esculentus - OKRA","Abelmoschus esculentus","Airport - Aircraft - Cargo - CBP","Honduras","CBP","FL","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1772245,835183,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"56","2024-02-23","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1438405,683787,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"57","2020-12-25","Limonium sp. - Limonium","Limonium sp.","Airport - Aircraft - Cargo - CBP","Ecuador","CBP","FL","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",168576,86126,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"58","2024-03-14","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP","Mexico","CBP","CA","Final ID","Spodoptera frugiperda (J.E. Smith) (Noctuidae)","No Phytosanitary Action",1453832,691102,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7305,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","frugiperda"
"59","2023-05-17","Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1232158,577664,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"60","2020-02-01","Eryngium foetidum (Apiaceae) - FALSE CORIANDER","Eryngium foetidum (Apiaceae)","Airport - Aircraft - Cargo - CBP","Costa Rica","CBP","FL","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",185720,93979,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
"61","2018-08-03","Solidago sp.  - Solidago","Solidago sp. ","Airport - Aircraft - Cargo - CBP","Colombia","CBP","FL","Final ID","Spodoptera eridania (Cramer) (Noctuidae)","No Phytosanitary Action",431312,203838,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7303,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","eridania"
"62","2020-07-08","Aster sp.  - Aster","Aster sp. ","Land Border - Truck - Conveyance - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",76632,44587,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"63","2025-11-05","Lactuca sativa var. longifolia  - Romaine Lettuce","Lactuca sativa var. longifolia ","Land Border - Truck - Cargo - CBP","Mexico","CBP","AZ","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",1885747,886084,NA,NA,NA,0,NA,NA,NA,NA,15,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"64","2017-06-10","Dianthus sp. - Dianthus","Dianthus sp.","Land Border - Truck - Cargo - CBP","Mexico","CBP","TX","Final ID","Spodoptera exigua (Hübner) (Noctuidae)","No Phytosanitary Action",598050,278572,NA,NA,NA,0,NA,NA,NA,NA,1,NA,7304,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera","exigua"
"65","2018-05-28","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP","West Bank","CBP","NY","Final ID","Spodoptera sp. (Noctuidae)","Phytosanitary Action",460678,217046,NA,NA,NA,0,NA,NA,NA,NA,2,NA,7297,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Spodoptera",NA
